Id,Name,Origem__c,VigenciaInicio__c,VigenciaFim__c,EscopoRegra__c,GestaoSLA__c,Categorizacao__c,MarcoSLA__c,AreaAtendimento__c,Ativo__c,CreatedDate,LastModifiedDate
a3Mbe000000KFR7EAO,RSC-003490,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByamEAC,a3Obe000000KtpzEAC,,true,2026-06-09T20:16:45.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KFSjEAO,RSC-003491,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByamEAC,a3Obe000000Ktq0EAC,,true,2026-06-09T20:18:43.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KFULEA4,RSC-003492,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByamEAC,a3Obe000000Ktq1EAC,,true,2026-06-09T20:19:15.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KFVxEAO,RSC-003493,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByamEAC,a3Obe000000Ktq2EAC,,true,2026-06-09T20:19:42.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KFxNEAW,RSC-003494,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByamEAC,a3Obe000000Ktq4EAC,,true,2026-06-09T22:17:03.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHKrEAO,RSC-003634,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByaoEAC,a3Obe000000KtpzEAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHKsEAO,RSC-003635,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByaoEAC,a3Obe000000Ktq0EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHKtEAO,RSC-003636,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByaoEAC,a3Obe000000Ktq1EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHKuEAO,RSC-003637,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByaoEAC,a3Obe000000Ktq2EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHKvEAO,RSC-003638,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByaoEAC,a3Obe000000Ktq4EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHKwEAO,RSC-003639,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B7EAK,a3Obe000000KtpzEAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHKxEAO,RSC-003640,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B7EAK,a3Obe000000Ktq0EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHKyEAO,RSC-003641,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B7EAK,a3Obe000000Ktq1EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHKzEAO,RSC-003642,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B7EAK,a3Obe000000Ktq2EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHL0EAO,RSC-003643,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B7EAK,a3Obe000000Ktq4EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHL1EAO,RSC-003644,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B8EAK,a3Obe000000KtpzEAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHL2EAO,RSC-003645,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B8EAK,a3Obe000000Ktq0EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHL3EAO,RSC-003646,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B8EAK,a3Obe000000Ktq1EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHL4EAO,RSC-003647,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B8EAK,a3Obe000000Ktq2EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHL5EAO,RSC-003648,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B8EAK,a3Obe000000Ktq4EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHL6EAO,RSC-003649,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B9EAK,a3Obe000000KtpzEAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHL7EAO,RSC-003650,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B9EAK,a3Obe000000Ktq0EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHL8EAO,RSC-003651,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B9EAK,a3Obe000000Ktq1EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHL9EAO,RSC-003652,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B9EAK,a3Obe000000Ktq2EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHLAEA4,RSC-003653,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000C4B9EAK,a3Obe000000Ktq4EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHLBEA4,RSC-003654,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByeiEAC,a3Obe000000KtpzEAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHLCEA4,RSC-003655,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByeiEAC,a3Obe000000Ktq0EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHLDEA4,RSC-003656,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByeiEAC,a3Obe000000Ktq1EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
a3Mbe000000KHLEEA4,RSC-003657,Qualquer,,,Atendimento,a3Nbe000000Q1A9EAK,a3Kbe000000ByeiEAC,a3Obe000000Ktq2EAC,,true,2026-06-10T19:37:34.000+0000,2026-06-13T22:14:06.000+0000
