Id,Name,TipoAtuacao__c,Caso__c,AreaAtendimento__c,OrigemAtuacao__c,StatusAtuacao__c,CreatedDate,LastModifiedDate
a3Jbe00000082MPEAY,AREA-000000,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T17:27:54.000+0000,2026-05-25T21:22:40.000+0000
a3Jbe00000082PdEAI,AREA-000001,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T18:06:17.000+0000,2026-05-25T21:22:07.000+0000
a3Jbe00000082RFEAY,AREA-000002,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T18:14:32.000+0000,2026-05-25T21:22:40.000+0000
a3Jbe00000082SrEAI,AREA-000003,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T18:18:50.000+0000,2026-05-25T21:22:40.000+0000
a3Jbe00000082UTEAY,AREA-000004,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T18:19:43.000+0000,2026-05-25T21:22:40.000+0000
a3Jbe00000082W5EAI,AREA-000005,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T18:20:25.000+0000,2026-05-25T21:22:40.000+0000
a3Jbe00000082XhEAI,AREA-000006,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T18:21:13.000+0000,2026-05-25T21:22:40.000+0000
a3Jbe00000082ZJEAY,AREA-000007,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T18:22:29.000+0000,2026-05-25T21:22:07.000+0000
a3Jbe00000082avEAA,AREA-000008,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T18:22:38.000+0000,2026-05-25T21:22:40.000+0000
a3Jbe00000082cXEAQ,AREA-000009,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T18:26:18.000+0000,2026-05-25T21:22:40.000+0000
a3Jbe00000082e9EAA,AREA-000010,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T18:26:28.000+0000,2026-05-25T21:22:07.000+0000
a3Jbe00000082flEAA,AREA-000011,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T18:31:20.000+0000,2026-05-25T21:22:40.000+0000
a3Jbe00000082hNEAQ,AREA-000012,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T18:35:07.000+0000,2026-05-25T21:22:40.000+0000
a3Jbe00000082izEAA,AREA-000013,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T18:43:24.000+0000,2026-05-25T21:22:40.000+0000
a3Jbe00000082mDEAQ,AREA-000014,Categorização Inicial,500be00000EmSl7AAF,,Automática,Concluída,2026-05-25T19:00:45.000+0000,2026-05-25T21:22:07.000+0000
a3Jbe00000083OvEAI,AREA-000015,Categorização Inicial,500be00000EmSl7AAF,Financeiro,Automática,Concluída,2026-05-25T21:52:03.000+0000,2026-05-25T21:53:41.000+0000
a3Jbe0000008HrhEAE,AREA-000016,Categorização Inicial,500be00000GCBg2AAH,Atendimento Backoffice,Automática,Concluída,2026-06-10T12:43:23.000+0000,2026-06-13T22:41:40.000+0000
