 »   Warning: @salesforce/cli update available from 2.137.7 to 2.138.6.
Querying Data... done
Id,Name,GestaoSLA__c,Categorizacao__c,MarcoSLA__c,AreaAtendimento__c,EscopoRegra__c,Ativo__c,TempoBaixa__c,TempoMedia__c,TempoAlta__c,CreatedDate,LastModifiedDate
a3Mbe000000KFR7EAO,RSC-003490,a3Nbe000000Q1A9EAK,a3Kbe000000ByamEAC,a3Obe000000KtpzEAC,,Por Categorizacao,true,180,120,60,2026-06-09T20:16:45.000+0000,2026-06-09T20:18:22.000+0000
a3Mbe000000KFSjEAO,RSC-003491,a3Nbe000000Q1A9EAK,a3Kbe000000ByamEAC,a3Obe000000Ktq0EAC,,Por Categorizacao,true,240,240,120,2026-06-09T20:18:43.000+0000,2026-06-09T20:18:43.000+0000
a3Mbe000000KFULEA4,RSC-003492,a3Nbe000000Q1A9EAK,a3Kbe000000ByamEAC,a3Obe000000Ktq1EAC,,Por Categorizacao,true,360,240,120,2026-06-09T20:19:15.000+0000,2026-06-09T20:19:15.000+0000
a3Mbe000000KFVxEAO,RSC-003493,a3Nbe000000Q1A9EAK,a3Kbe000000ByamEAC,a3Obe000000Ktq2EAC,,Por Categorizacao,true,60,60,60,2026-06-09T20:19:42.000+0000,2026-06-09T20:19:42.000+0000
a3Mbe000000KFxNEAW,RSC-003494,a3Nbe000000Q1A9EAK,a3Kbe000000ByamEAC,a3Obe000000Ktq4EAC,,Por Categorizacao,true,360,360,360,2026-06-09T22:17:03.000+0000,2026-06-09T22:17:03.000+0000
a3Mbe000000KHKrEAO,RSC-003634,a3Nbe000000Q1A9EAK,a3Kbe000000ByaoEAC,a3Obe000000KtpzEAC,,Por Categorizacao,true,180,120,60,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHKsEAO,RSC-003635,a3Nbe000000Q1A9EAK,a3Kbe000000ByaoEAC,a3Obe000000Ktq0EAC,,Por Categorizacao,true,240,240,120,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHKtEAO,RSC-003636,a3Nbe000000Q1A9EAK,a3Kbe000000ByaoEAC,a3Obe000000Ktq1EAC,,Por Categorizacao,true,360,240,120,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHKuEAO,RSC-003637,a3Nbe000000Q1A9EAK,a3Kbe000000ByaoEAC,a3Obe000000Ktq2EAC,,Por Categorizacao,true,60,60,60,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHKvEAO,RSC-003638,a3Nbe000000Q1A9EAK,a3Kbe000000ByaoEAC,a3Obe000000Ktq4EAC,,Por Categorizacao,true,360,360,360,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHKwEAO,RSC-003639,a3Nbe000000Q1A9EAK,a3Kbe000000C4B7EAK,a3Obe000000KtpzEAC,,Por Categorizacao,true,180,120,60,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHKxEAO,RSC-003640,a3Nbe000000Q1A9EAK,a3Kbe000000C4B7EAK,a3Obe000000Ktq0EAC,,Por Categorizacao,true,240,240,120,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHKyEAO,RSC-003641,a3Nbe000000Q1A9EAK,a3Kbe000000C4B7EAK,a3Obe000000Ktq1EAC,,Por Categorizacao,true,360,240,120,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHKzEAO,RSC-003642,a3Nbe000000Q1A9EAK,a3Kbe000000C4B7EAK,a3Obe000000Ktq2EAC,,Por Categorizacao,true,60,60,60,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHL0EAO,RSC-003643,a3Nbe000000Q1A9EAK,a3Kbe000000C4B7EAK,a3Obe000000Ktq4EAC,,Por Categorizacao,true,360,360,360,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHL1EAO,RSC-003644,a3Nbe000000Q1A9EAK,a3Kbe000000C4B8EAK,a3Obe000000KtpzEAC,,Por Categorizacao,true,180,120,60,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHL2EAO,RSC-003645,a3Nbe000000Q1A9EAK,a3Kbe000000C4B8EAK,a3Obe000000Ktq0EAC,,Por Categorizacao,true,240,240,120,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHL3EAO,RSC-003646,a3Nbe000000Q1A9EAK,a3Kbe000000C4B8EAK,a3Obe000000Ktq1EAC,,Por Categorizacao,true,360,240,120,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHL4EAO,RSC-003647,a3Nbe000000Q1A9EAK,a3Kbe000000C4B8EAK,a3Obe000000Ktq2EAC,,Por Categorizacao,true,60,60,60,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHL5EAO,RSC-003648,a3Nbe000000Q1A9EAK,a3Kbe000000C4B8EAK,a3Obe000000Ktq4EAC,,Por Categorizacao,true,360,360,360,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHL6EAO,RSC-003649,a3Nbe000000Q1A9EAK,a3Kbe000000C4B9EAK,a3Obe000000KtpzEAC,,Por Categorizacao,true,180,120,60,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHL7EAO,RSC-003650,a3Nbe000000Q1A9EAK,a3Kbe000000C4B9EAK,a3Obe000000Ktq0EAC,,Por Categorizacao,true,240,240,120,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHL8EAO,RSC-003651,a3Nbe000000Q1A9EAK,a3Kbe000000C4B9EAK,a3Obe000000Ktq1EAC,,Por Categorizacao,true,360,240,120,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHL9EAO,RSC-003652,a3Nbe000000Q1A9EAK,a3Kbe000000C4B9EAK,a3Obe000000Ktq2EAC,,Por Categorizacao,true,60,60,60,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHLAEA4,RSC-003653,a3Nbe000000Q1A9EAK,a3Kbe000000C4B9EAK,a3Obe000000Ktq4EAC,,Por Categorizacao,true,360,360,360,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHLBEA4,RSC-003654,a3Nbe000000Q1A9EAK,a3Kbe000000ByeiEAC,a3Obe000000KtpzEAC,,Por Categorizacao,true,180,120,60,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHLCEA4,RSC-003655,a3Nbe000000Q1A9EAK,a3Kbe000000ByeiEAC,a3Obe000000Ktq0EAC,,Por Categorizacao,true,240,240,120,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHLDEA4,RSC-003656,a3Nbe000000Q1A9EAK,a3Kbe000000ByeiEAC,a3Obe000000Ktq1EAC,,Por Categorizacao,true,360,240,120,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHLEEA4,RSC-003657,a3Nbe000000Q1A9EAK,a3Kbe000000ByeiEAC,a3Obe000000Ktq2EAC,,Por Categorizacao,true,60,60,60,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
a3Mbe000000KHLFEA4,RSC-003658,a3Nbe000000Q1A9EAK,a3Kbe000000ByeiEAC,a3Obe000000Ktq4EAC,,Por Categorizacao,true,360,360,360,2026-06-10T19:37:34.000+0000,2026-06-10T19:37:34.000+0000
